Plus-Ticker,Name,API
CGC,Canopy Growth,IEX
ACB,Aurora Cannabis,IEX
NWL,Newell Brands,IEX
NVDA,NVIDIA,IEX
AMZN,Amazon,IEX
NGD,New Gold,IEX
XPO,XPO Logistics,IEX
FB,Facebook,IEX
APHA,Aphria,IEX
ANET,Arista Networks,IEX
TLRY,Tilray,IEX
INSY,Insys Therapeutics,IEX
SPWR,SunPower,IEX
NFLX,Netflix,IEX
EA,Electronic Arts,IEX
AAPL,Apple,IEX
GWPH,GW Pharmaceuticals,IEX
TSLA,Tesla,IEX
GOOS,Canada Goose Holdings,IEX
PEP,PepsiCo,IEX
BA,Boeing,IEX
AMD,AMD,IEX
SPXC,SPX,IEX
DAN,Dana Holding,IEX
CTL,CenturyLink,IEX
ATVI,Activision,IEX
FTR,Frontier,IEX
BABA,Alibaba,IEX
NKE,Nike,IEX
GOOG,Alphabet,IEX
SBUX,Starbucks,IEX
NIO,Nio,IEX
SHOP,Shopify,IEX
MAT,Mattel,IEX
YNDX,Yandex,IEX
JPM,JPMorgan,IEX
V,Visa,IEX
MSFT,Microsoft,IEX
FDX,FedEx,IEX
TWTR,Twitter,IEX
PYPL,PayPal,IEX
SQ,Square,IEX
SSNC,SS&C,IEX
TAP,Molson Coors Brewing,IEX
TTWO,Take-Two Interactive Software,IEX
DIS,Walt Disney,IEX
OKE,ONEOK,IEX
BB,BlackBerry,IEX
MU,Micron,IEX
XOM,ExxonMobil,IEX
DBX,Dropbox,IEX
SPOT,Spotify,IEX
CHK,Chesapeake Energy,IEX
TMUS,T-Mobile,IEX
MCD,McDonald's,IEX
BRK.B,Berkshire Hathaway,IEX
DWDP,DowDuPont,IEX
GPRO,GoPro,IEX
ADP,ADP,IEX
CRR,Carbo,IEX
JEC,Jacobs Engineering,IEX
GPN,Global Payments,IEX
MA,MasterCard,IEX
ESV,ENSCO,IEX
MRO,Marathon Oil,IEX
SNAP,Snap,IEX
GE,General Electric,IEX
VZ,Verizon,IEX
APC,Anadarko Petroleum,IEX
MRK,Merck,IEX
PRU,Prudential Financial,IEX
BHC,Bausch Health,IEX
WU,Western Union,IEX
AGNC,American Capital Agency,IEX
NTRS,Northern Trust,IEX
AEE,Ameren,IEX
CGNX,Cognex,IEX
AEO,American Eagle Outfitters,IEX
ANF,Abercrombie & Fitch,IEX
PBR,Petrobras,IEX
F,Ford,IEX
IRBT,iRobot,IEX
FOSL,Fossil,IEX
BBBY,BBBY,IEX
TSM,Taiwan Semi.,IEX
WMT,Walmart,IEX
CVX,Chevron,IEX
LNG,Cheniere Energy,IEX
ANTM,Anthem,IEX
DATA,Tableau Software,IEX
CMCSA,Comcast,IEX
IFF,Flavors & Fragrances,IEX
TRQ,Turquoise Hill Resources,IEX
CVS,CVS Health,IEX
DOV,Dover,IEX
CLX,Clorox,IEX
CNC,Centene,IEX
COG,Cabot Oil & Gas,IEX
AMAT,Applied Mat.,IEX
ALXN,Alexion,IEX
BEN,Franklin,IEX
CPRI,Capri Holdings,IEX
BIDU,Baidu,IEX
SLB,Schlumberger,IEX
LLY,Eli Lilly,IEX
EXAS,EXACT Sciences,IEX
ADI,Analog Devices,IEX
INTU,Intuit,IEX
HSIC,Henry Schein,IEX
LYV,Live Nation,IEX
CY,Cypress Semiconductor,IEX
RHT,Red Hat,IEX
CAR,Avis Budget,IEX
ENS,Enersys,IEX
DLTR,Dollar Tree,IEX
CBS,CBS,IEX
IQV,IQVIA Holdings,IEX
MCHP,Microchip,IEX
INTC,Intel,IEX
LOW,Lowe's,IEX
UNH,UnitedHealth,IEX
MCO,Moody's,IEX
X,United States Steel,IEX
AR,Antero Resources,IEX
CHFC,Chemical Financial,IEX
SNE,Sony,IEX
NDAQ,NASDAQ,IEX
SKX,Skechers,IEX
HRB,H&R Block,IEX
ABBV,AbbVie,IEX
LULU,Lululemon Athletica,IEX
JNJ,J & J,IEX
AEP,AEP,IEX
TWLO,Twilio,IEX
EHC,Encompass Health,IEX
WFT,Weatherford,IEX
GILD,Gilead,IEX
STNE,StoneCo,IEX
NBR,Nabors Industries,IEX
KHC,Kraft Heinz,IEX
RRC,Range Resources,IEX
HAS,Hasbro,IEX
TME,Tencent Music Entertainment,IEX
M,Macy's,IEX
ORCL,Oracle,IEX
ACIW,ACI Worldwide,IEX
ISRG,Intuitive Surgical,IEX
MDT,Medtronic,IEX
SPN,Superior Energy Services,IEX
LMT,Lockheed Martin,IEX
RTN,Raytheon,IEX
SIX,Six Flags,IEX
YELP,Yelp,IEX
DE,Deere,IEX
NTAP,NetApp,IEX
ECA,EnCana,IEX
BKD,Brookdale Senior Living,IEX
KGC,Kinross Gold,IEX
AIG,AIG,IEX
ACGL,Arch Capital,IEX
ZBRA,Zebra,IEX
WFC,Wells Fargo,IEX
EL,Estee Lauder,IEX
KEY,KeyCorp,IEX
IQ,iQIYI,IEX
LRCX,Lam Research,IEX
EQIX,Equinix,IEX
MTCH,Match Group,IEX
GRUB,GrubHub,IEX
SEE,Sealed Air,IEX
ET,Energy Transfer,IEX
TM,Toyota,IEX
BLMN,Bloomin' Brands,IEX
TUP,Tupperware,IEX
BG,Bunge,IEX
CIEN,CIENA,IEX
LPI,Laredo Petroleum,IEX
EBAY,eBay,IEX
FSLR,First Solar,IEX
CMI,Cummins,IEX
SON,Sonoco,IEX
